wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
4.6116073608e+02	9.7228181568e-01	8.9961022139e-01	8.9205396175e-01
4.6158044434e+02	9.7202542566e-01	8.9897847176e-01	8.9299732447e-01
4.6200015259e+02	9.7176549652e-01	8.9921110868e-01	8.9232909679e-01
4.6241986084e+02	9.7150196346e-01	8.9952725172e-01	8.9148724079e-01
4.6283956909e+02	9.7123476025e-01	8.9909166098e-01	8.9173519611e-01
4.6325927734e+02	9.7096381912e-01	8.9856016636e-01	8.9145153761e-01
4.6367901611e+02	9.7068905063e-01	8.9638465643e-01	8.9097857475e-01
4.6409872437e+02	9.7041042382e-01	8.9575898647e-01	8.9010298252e-01
4.6451843262e+02	9.7012784629e-01	8.9525824785e-01	8.8996553421e-01
4.6493814087e+02	9.6984124382e-01	8.9528733492e-01	8.9044398069e-01
4.6535784912e+02	9.6955054042e-01	8.9344680309e-01	8.8966661692e-01
4.6577755737e+02	9.6925565834e-01	8.9208763838e-01	8.8913214207e-01
4.6619726562e+02	9.6895651801e-01	8.9739221334e-01	8.8963228464e-01
4.6661697388e+02	9.6865303795e-01	8.9126694202e-01	8.8908934593e-01
4.6703668213e+02	9.6834513477e-01	8.8983350992e-01	8.8869780302e-01
4.6745639038e+02	9.6803272308e-01	8.8902235031e-01	8.8860780001e-01
4.6787609863e+02	9.6771571544e-01	8.8727420568e-01	8.8786274195e-01
4.6829580688e+02	9.6739402233e-01	8.8700306416e-01	8.8788390160e-01
4.6871551514e+02	9.6706755204e-01	8.8669073582e-01	8.8646304607e-01
4.6913522339e+02	9.6673621064e-01	8.8667988777e-01	8.8741087914e-01
4.6955493164e+02	9.6639990192e-01	8.8574022055e-01	8.8622689247e-01
4.6997463989e+02	9.6605852730e-01	8.8516181707e-01	8.8603377342e-01
4.7039434814e+02	9.6571198578e-01	8.8448035717e-01	8.8441300392e-01
4.7081405640e+02	9.6536017387e-01	8.8464617729e-01	8.8476347923e-01
4.7123376465e+02	9.6500298549e-01	8.8414686918e-01	8.8339775801e-01
