wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
4.7417173774e+02	8.8721895218e-01	8.7606608868e-01
4.7459144718e+02	8.8888722658e-01	8.7541550398e-01
4.7501115662e+02	8.9051330090e-01	8.7482202053e-01
4.7543086606e+02	8.9209842682e-01	8.7310302258e-01
4.7585057550e+02	8.9364385605e-01	8.7337201834e-01
4.7627028494e+02	8.9515078068e-01	8.7324100733e-01
4.7668999438e+02	8.9662033319e-01	8.7310022116e-01
4.7710970383e+02	8.9805358648e-01	8.7376028299e-01
4.7752941327e+02	8.9945161343e-01	8.7211322784e-01
4.7794912271e+02	9.0081542730e-01	8.7481880188e-01
4.7836883215e+02	9.0214598179e-01	8.7501162291e-01
4.7878854159e+02	9.0344434977e-01	8.7405103445e-01
4.7920825103e+02	9.0471124649e-01	8.7383419275e-01
4.7962796047e+02	9.0594774485e-01	8.7373089790e-01
4.8004766991e+02	9.0715461969e-01	8.7446290255e-01
4.8046737935e+02	9.0833264589e-01	8.7353432178e-01
4.8088708880e+02	9.0948265791e-01	8.7373405695e-01
4.8130679824e+02	9.1060543060e-01	8.7374788523e-01
4.8172650768e+02	9.1170173883e-01	8.7321871519e-01
4.8214621712e+02	9.1277223825e-01	8.7352681160e-01
4.8256592656e+02	9.1381764412e-01	8.7286102772e-01
4.8298563600e+02	9.1483861208e-01	8.7338775396e-01
4.8340534544e+02	9.1583579779e-01	8.7308901548e-01
4.8382505488e+02	9.1680979729e-01	8.7285882235e-01
4.8424476433e+02	9.1776126623e-01	8.7250655890e-01
4.8466447377e+02	9.1869074106e-01	8.7247788906e-01
4.8508418321e+02	9.1959881783e-01	8.7232458591e-01
4.8550389265e+02	9.2048603296e-01	8.7223166227e-01
4.8592360209e+02	9.2135292292e-01	8.7201309204e-01
4.8634331153e+02	9.2219996452e-01	8.7207961082e-01
4.8676302097e+02	9.2302763462e-01	8.7294065952e-01
4.8718273041e+02	9.2383646965e-01	8.7291914225e-01
4.8760243986e+02	9.2462694645e-01	8.7263292074e-01
4.8802214930e+02	9.2539942265e-01	8.7206321955e-01
4.8844185874e+02	9.2615437508e-01	8.7246930599e-01
4.8886156818e+02	9.2689222097e-01	8.7215948105e-01
4.8928127762e+02	9.2761337757e-01	8.7238836288e-01
4.8970098706e+02	9.2831820250e-01	8.7137985229e-01
4.9012069650e+02	9.2900717258e-01	8.7113666534e-01
4.9054040594e+02	9.2968052626e-01	8.7184262276e-01
4.9096011538e+02	9.3033868074e-01	8.7282276154e-01
4.9137982483e+02	9.3098199368e-01	8.7164050341e-01
4.9179953427e+02	9.3161076307e-01	8.7177336216e-01
4.9221924371e+02	9.3222534657e-01	8.7044984102e-01
4.9263895315e+02	9.3282604218e-01	8.7113660574e-01
4.9305866259e+02	9.3341320753e-01	8.7210845947e-01
4.9347837203e+02	9.3398702145e-01	8.7238383293e-01
4.9389808147e+02	9.3454784155e-01	8.7173080444e-01
4.9431779091e+02	9.3509596586e-01	8.7177371979e-01
4.9473750036e+02	9.3563157320e-01	8.7189054489e-01
4.9515720980e+02	9.3615502119e-01	8.7142056227e-01
4.9557691924e+02	9.3666654825e-01	8.7113732100e-01
4.9599662868e+02	9.3716633320e-01	8.7162482738e-01
4.9641633812e+02	9.3765467405e-01	8.7258088589e-01
4.9683604756e+02	9.3813174963e-01	8.7106114626e-01
4.9725575700e+02	9.3859785795e-01	8.7112534046e-01
4.9767546644e+02	9.3905311823e-01	8.7153679132e-01
4.9809517589e+02	9.3949782848e-01	8.7182867527e-01
4.9851488533e+02	9.3993210793e-01	8.7094920874e-01
4.9893459477e+02	9.4035625458e-01	8.7063568830e-01
4.9935430421e+02	9.4077038765e-01	8.7028270960e-01
4.9977401365e+02	9.4117468596e-01	8.6990427971e-01
5.0019372309e+02	9.4156932831e-01	8.6930185556e-01
5.0061343253e+02	9.4195455313e-01	8.6926299334e-01
5.0103314197e+02	9.4233047962e-01	8.6915576458e-01
5.0145285141e+02	9.4269728661e-01	8.6919718981e-01
5.0187256086e+02	9.4305509329e-01	8.6880314350e-01
5.0229227030e+02	9.4340407848e-01	8.6822324991e-01
5.0271197974e+02	9.4374442101e-01	8.6762946844e-01
5.0313168918e+02	9.4407618046e-01	8.6667501926e-01
5.0355139862e+02	9.4439959526e-01	8.6551815271e-01
5.0397110806e+02	9.4471478462e-01	8.6736357212e-01
5.0439081750e+02	9.4502180815e-01	8.6802828312e-01
