wavelength_nm	final_network_transmittance	cst_average_transmittance
5.4762088995e+02	6.3284531236e-02	4.1146554022e-02
5.4804059939e+02	5.8152500540e-02	3.7928204541e-02
5.4846030883e+02	5.3593691438e-02	3.5078227913e-02
5.4888001827e+02	4.9313277006e-02	3.2573112462e-02
5.4929972771e+02	4.5582491904e-02	3.0390602497e-02
5.4971943715e+02	4.2000122368e-02	2.8510141902e-02
5.5013914659e+02	3.8773197681e-02	2.6913313309e-02
5.5055885604e+02	3.6833427846e-02	2.5584273597e-02
5.5097856548e+02	3.4254018217e-02	2.4510187091e-02
5.5139827492e+02	3.2355602831e-02	2.3681657620e-02
5.5181798436e+02	3.0678093433e-02	2.3093159571e-02
5.5223769380e+02	2.8599450365e-02	2.2743466123e-02
5.5265740324e+02	2.7988659218e-02	2.2636069945e-02
5.5307711268e+02	2.6618508622e-02	2.2779587844e-02
5.5349682212e+02	2.5895833969e-02	2.3188136034e-02
5.5391653156e+02	2.4870479479e-02	2.3881657047e-02
5.5433624101e+02	2.5347793475e-02	2.4886172815e-02
5.5475595045e+02	2.5241192430e-02	2.6233931421e-02
5.5517565989e+02	2.5762325153e-02	2.7963407841e-02
5.5559536933e+02	2.6048960164e-02	3.0119112248e-02
5.5601507877e+02	2.7123147622e-02	3.2751154154e-02
5.5643478821e+02	2.8781926259e-02	3.5914507960e-02
5.5685449765e+02	2.9552392662e-02	3.9667927073e-02
5.5727420709e+02	3.2320879400e-02	4.4072461544e-02
5.5769391654e+02	3.4556359053e-02	4.9189550250e-02
5.5811362598e+02	3.7284202874e-02	5.5078685005e-02
5.5853333542e+02	4.0797397494e-02	6.1794681819e-02
5.5895304486e+02	4.4754300267e-02	6.9384643614e-02
5.5937275430e+02	4.9215231091e-02	7.7884756286e-02
5.5979246374e+02	5.3864210844e-02	8.7317119918e-02
5.6021217318e+02	5.9462681413e-02	9.7686869379e-02
5.6063188262e+02	6.4999341965e-02	1.0897987060e-01
5.6105159207e+02	7.1489825845e-02	1.2116127718e-01
5.6147130151e+02	7.8686580062e-02	1.3417518672e-01
5.6189101095e+02	8.7773337960e-02	1.4794554469e-01
5.6231072039e+02	9.5513492823e-02	1.6237831524e-01
5.6273042983e+02	1.0368789732e-01	1.7736479196e-01
5.6315013927e+02	1.1320988834e-01	1.9278578463e-01
5.6356984871e+02	1.2393613160e-01	2.0851631750e-01
5.6398955815e+02	1.3534519076e-01	2.2443042897e-01
5.6440926759e+02	1.4914835989e-01	2.4040567908e-01
5.6482897704e+02	1.6070589423e-01	2.5632704091e-01
