wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
5.0606964111e+02	7.0084011555e-01	6.1509680748e-01	6.8347686529e-01
5.0648937988e+02	6.9393336773e-01	6.0303914547e-01	6.7418932915e-01
5.0690908813e+02	6.8678653240e-01	5.9297645092e-01	6.6677033901e-01
5.0732879639e+02	6.7939084768e-01	5.8395344019e-01	6.6198086739e-01
5.0774850464e+02	6.7173761129e-01	5.7284837961e-01	6.5114045143e-01
5.0816821289e+02	6.6381824017e-01	5.6595438719e-01	6.4439213276e-01
5.0858792114e+02	6.5562385321e-01	5.5306637287e-01	6.3489776850e-01
5.0900762939e+02	6.4714545012e-01	5.4245501757e-01	6.2422168255e-01
5.0942733765e+02	6.3837403059e-01	5.3115862608e-01	6.1370027065e-01
5.0984704590e+02	6.2930041552e-01	5.1954889297e-01	6.0448259115e-01
5.1026675415e+02	6.1991566420e-01	5.0829535723e-01	5.9311538935e-01
5.1068646240e+02	6.1021065712e-01	4.9570801854e-01	5.8487451077e-01
5.1110617065e+02	6.0017651320e-01	4.8303356767e-01	5.6954348087e-01
5.1152587891e+02	5.8980458975e-01	4.6893119812e-01	5.5672532320e-01
5.1194558716e+02	5.7908636332e-01	4.5531415939e-01	5.4567492008e-01
5.1236529541e+02	5.6801390648e-01	4.4093933702e-01	5.3214901686e-01
5.1278503418e+02	5.5657869577e-01	4.2650943995e-01	5.1566892862e-01
5.1320471191e+02	5.4477649927e-01	4.1219234467e-01	5.0475001335e-01
5.1362445068e+02	5.3259754181e-01	3.9897760749e-01	4.8863863945e-01
5.1404412842e+02	5.2004015446e-01	3.8590243459e-01	4.7429087758e-01
5.1446386719e+02	5.0709652901e-01	3.7215575576e-01	4.5612293482e-01
5.1488354492e+02	4.9376749992e-01	3.5998943448e-01	4.3759688735e-01
5.1530328369e+02	4.8004782200e-01	3.4588313103e-01	4.1986063123e-01
5.1572296143e+02	4.6594184637e-01	3.3125501871e-01	4.0427201986e-01
5.1614270020e+02	4.5144778490e-01	3.1696364284e-01	3.8266640902e-01
5.1656237793e+02	4.3657445908e-01	3.0346712470e-01	3.6668014526e-01
5.1698211670e+02	4.2132478952e-01	2.8950050473e-01	3.4894162416e-01
5.1740179443e+02	4.0571328998e-01	2.7496606112e-01	3.2792738080e-01
5.1782153320e+02	3.8974872231e-01	2.6254385710e-01	3.1103596091e-01
5.1824121094e+02	3.7345260382e-01	2.4783165753e-01	2.9009649158e-01
5.1866094971e+02	3.5684108734e-01	2.3369860649e-01	2.7303099632e-01
5.1908062744e+02	3.3994409442e-01	2.2082434595e-01	2.5237953663e-01
5.1950036621e+02	3.2278653979e-01	2.0926080644e-01	2.3515897989e-01
5.1992004395e+02	3.0540817976e-01	1.9714856148e-01	2.1719095111e-01
5.2033978271e+02	2.8784409165e-01	1.8265990913e-01	2.0171944797e-01
5.2075946045e+02	2.7014511824e-01	1.6703072190e-01	1.8594703078e-01
5.2117919922e+02	2.5235769153e-01	1.5491148829e-01	1.7135697603e-01
5.2159887695e+02	2.3454456031e-01	1.4203113317e-01	1.5969823301e-01
5.2201861572e+02	2.1676422656e-01	1.3027715683e-01	1.4701750875e-01
5.2243829346e+02	1.9909164310e-01	1.2714640796e-01	1.3622577488e-01
5.2285803223e+02	1.8159741163e-01	1.2017293274e-01	1.2504619360e-01
5.2327777100e+02	1.6436555982e-01	1.1411272734e-01	1.1707328260e-01
5.2369744873e+02	1.4748522639e-01	1.0672967881e-01	1.0896807164e-01
5.2411718750e+02	1.3104286790e-01	1.0143920034e-01	1.0161123425e-01
