wavelength_nm	final_result_transmittance	cst_average_transmittance
5.3502960205e+02	9.6555727720e-01	9.6552740544e-01
5.3544934082e+02	9.6582609415e-01	9.6555635843e-01
5.3586901855e+02	9.6577459574e-01	9.6558479338e-01
5.3628875732e+02	9.6554327011e-01	9.6561271597e-01
5.3670843506e+02	9.6576225758e-01	9.6564013391e-01
5.3712817383e+02	9.6556407213e-01	9.6566707706e-01
5.3754785156e+02	9.6568953991e-01	9.6569354817e-01
5.3796759033e+02	9.6551656723e-01	9.6571956519e-01
5.3838726807e+02	9.6564853191e-01	9.6574513055e-01
5.3880700684e+02	9.6676003933e-01	9.6577026135e-01
5.3922668457e+02	9.6440535784e-01	9.6579495967e-01
5.3964642334e+02	9.6543502808e-01	9.6581924178e-01
5.4006610107e+02	9.6567195654e-01	9.6584310938e-01
5.4048583984e+02	9.6575021744e-01	9.6586657792e-01
5.4090551758e+02	9.6552503109e-01	9.6588964870e-01
5.4132525635e+02	9.6575933695e-01	9.6591233633e-01
5.4174493408e+02	9.6585667133e-01	9.6593464175e-01
5.4216467285e+02	9.6596139669e-01	9.6595657871e-01
5.4258435059e+02	9.6571254730e-01	9.6597814776e-01
5.4300408936e+02	9.6595084667e-01	9.6599936185e-01
5.4342376709e+02	9.6575826406e-01	9.6602022109e-01
5.4384350586e+02	9.6583110094e-01	9.6604073763e-01
5.4426324463e+02	9.6590411663e-01	9.6606091411e-01
5.4468292236e+02	9.6596175432e-01	9.6608075312e-01
5.4510266113e+02	9.6592324972e-01	9.6610026554e-01
5.4552233887e+02	9.6606129408e-01	9.6611945057e-01
5.4594207764e+02	9.6610724926e-01	9.6613831828e-01
5.4636175537e+02	9.6596187353e-01	9.6615686748e-01
5.4678149414e+02	9.6594327688e-01	9.6617510750e-01
5.4720117188e+02	9.6603763103e-01	9.6619303674e-01
5.4762091064e+02	9.6625584364e-01	9.6621066378e-01
5.4804058838e+02	9.6655857563e-01	9.6622798664e-01
5.4846032715e+02	9.6647423506e-01	9.6624501318e-01
5.4888000488e+02	9.6641600132e-01	9.6626174104e-01
5.4929974365e+02	9.6659588814e-01	9.6627817739e-01
5.4971942139e+02	9.6658015251e-01	9.6629431949e-01
5.5013916016e+02	9.6666556597e-01	9.6631017382e-01
5.5055883789e+02	9.6673375368e-01	9.6632573730e-01
5.5097857666e+02	9.6675068140e-01	9.6634101574e-01
5.5139825439e+02	9.6678221226e-01	9.6635600573e-01
5.5181799316e+02	9.6674168110e-01	9.6637071242e-01
5.5223767090e+02	9.6668732166e-01	9.6638513209e-01
5.5265740967e+02	9.6693325043e-01	9.6639926928e-01
5.5307708740e+02	9.6665334702e-01	9.6641311994e-01
5.5349682617e+02	9.6665877104e-01	9.6642668801e-01
5.5391650391e+02	9.6684843302e-01	9.6643996916e-01
5.5433624268e+02	9.6680384874e-01	9.6645296674e-01
5.5475592041e+02	9.6660709381e-01	9.6646567616e-01
5.5517565918e+02	9.6682268381e-01	9.6647810020e-01
5.5559539795e+02	9.6678835154e-01	9.6649023577e-01
5.5601507568e+02	9.6684014797e-01	9.6650207985e-01
5.5643481445e+02	9.6675825119e-01	9.6651363430e-01
5.5685449219e+02	9.6686279774e-01	9.6652489406e-01
5.5727423096e+02	9.6695184708e-01	9.6653586045e-01
5.5769390869e+02	9.6677899361e-01	9.6654652824e-01
5.5811364746e+02	9.6691673994e-01	9.6655689823e-01
5.5853332520e+02	9.6709072590e-01	9.6656696502e-01
5.5895306396e+02	9.6701049805e-01	9.6657672892e-01
5.5937274170e+02	9.6691507101e-01	9.6658618438e-01
5.5979248047e+02	9.6704459190e-01	9.6659533125e-01
5.6021215820e+02	9.6704983711e-01	9.6660416384e-01
5.6063189697e+02	9.6695697308e-01	9.6661268155e-01
5.6105157471e+02	9.6681499481e-01	9.6662087860e-01
5.6147131348e+02	9.6684587002e-01	9.6662875392e-01
5.6189099121e+02	9.6691060066e-01	9.6663630166e-01
5.6231072998e+02	9.6676230431e-01	9.6664352033e-01
5.6273040771e+02	9.6692144871e-01	9.6665040403e-01
5.6315014648e+02	9.6684676409e-01	9.6665695086e-01
5.6356982422e+02	9.6674168110e-01	9.6666315487e-01
5.6398956299e+02	9.6672862768e-01	9.6666901378e-01
5.6440924072e+02	9.6684128046e-01	9.6667452163e-01
5.6482897949e+02	9.6681398153e-01	9.6667967574e-01
5.6524865723e+02	9.6703064442e-01	9.6668447018e-01
5.6566839600e+02	9.6705704927e-01	9.6668890192e-01
5.6608813477e+02	9.6718376875e-01	9.6669296561e-01
5.6650781250e+02	9.6694725752e-01	9.6669664630e-01
