wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
4.2044892926e+02	5.1074302197e-01	6.3324308395e-01
4.2086863870e+02	5.2399599552e-01	6.4634811878e-01
4.2128834815e+02	5.3686308861e-01	6.5699243546e-01
4.2170805759e+02	5.4934817553e-01	6.6765058041e-01
4.2212776703e+02	5.6145638227e-01	6.7686712742e-01
4.2254747647e+02	5.7319360971e-01	6.8729645014e-01
4.2296718591e+02	5.8456671238e-01	6.9662350416e-01
4.2338689535e+02	5.9558320045e-01	7.0530951023e-01
4.2380660479e+02	6.0625106096e-01	7.1301972866e-01
4.2422631423e+02	6.1657863855e-01	7.2069495916e-01
4.2464602368e+02	6.2657475471e-01	7.2735834122e-01
4.2506573312e+02	6.3624817133e-01	7.3405212164e-01
4.2548544256e+02	6.4560806751e-01	7.3975390196e-01
4.2590515200e+02	6.5466356277e-01	7.4521845579e-01
4.2632486144e+02	6.6342383623e-01	7.5116336346e-01
4.2674457088e+02	6.7189800739e-01	7.5518912077e-01
4.2716428032e+02	6.8009519577e-01	7.6093101501e-01
4.2758398976e+02	6.8802428246e-01	7.6477849483e-01
4.2800369920e+02	6.9569414854e-01	7.7026045322e-01
4.2842340865e+02	7.0311337709e-01	7.7406400442e-01
4.2884311809e+02	7.1029061079e-01	7.7760004997e-01
4.2926282753e+02	7.1723401546e-01	7.8049075603e-01
4.2968253697e+02	7.2395175695e-01	7.8370529413e-01
4.3010224641e+02	7.3045170307e-01	7.8704345226e-01
4.3052195585e+02	7.3674148321e-01	7.9000848532e-01
4.3094166529e+02	7.4282854795e-01	7.9300391674e-01
4.3136137473e+02	7.4872010946e-01	7.9508882761e-01
4.3178108418e+02	7.5442308187e-01	7.9826402664e-01
4.3220079362e+02	7.5994431973e-01	8.0039888620e-01
4.3262050306e+02	7.6529031992e-01	8.0282294750e-01
4.3304021250e+02	7.7046734095e-01	8.0554544926e-01
4.3345992194e+02	7.7548140287e-01	8.0638259649e-01
4.3387963138e+02	7.8033852577e-01	8.0766850710e-01
4.3429934082e+02	7.8504419327e-01	8.0938792229e-01
4.3471905026e+02	7.8960394859e-01	8.1130951643e-01
4.3513875971e+02	7.9402303696e-01	8.1265407801e-01
4.3555846915e+02	7.9830646515e-01	8.1392961740e-01
4.3597817859e+02	8.0245912075e-01	8.1401568651e-01
4.3639788803e+02	8.0648559332e-01	8.1581550837e-01
4.3681759747e+02	8.1039047241e-01	8.1650936604e-01
4.3723730691e+02	8.1417804956e-01	8.1650936604e-01
4.3765701635e+02	8.1785249710e-01	8.1801098585e-01
4.3807672579e+02	8.2141774893e-01	8.1776386499e-01
4.3849643523e+02	8.2487767935e-01	8.1848859787e-01
4.3891614468e+02	8.2823598385e-01	8.1883752346e-01
4.3933585412e+02	8.3149617910e-01	8.1858158112e-01
4.3975556356e+02	8.3466172218e-01	8.1841820478e-01
4.4017527300e+02	8.3773583174e-01	8.1740140915e-01
4.4059498244e+02	8.4072166681e-01	8.1714904308e-01
4.4101469188e+02	8.4362232685e-01	8.1606072187e-01
4.4143440132e+02	8.4644061327e-01	8.1523972750e-01
4.4185411076e+02	8.4917938709e-01	8.1545543671e-01
