wavelength_nm	final_result_transmittance	cst_average_transmittance
3.9610578167e+02	8.3751393926e-01	8.2721002897e-01
3.9652549111e+02	8.3512975065e-01	8.2506082455e-01
3.9694520056e+02	8.3293063862e-01	8.2289465268e-01
3.9736491000e+02	8.3104599164e-01	8.2071596384e-01
3.9778461944e+02	8.2907337986e-01	8.1852900982e-01
3.9820432888e+02	8.2742062597e-01	8.1633784374e-01
3.9862403832e+02	8.2479783758e-01	8.1414624055e-01
3.9904374776e+02	8.2223829497e-01	8.1195791562e-01
3.9946345720e+02	8.1993199719e-01	8.0977618694e-01
3.9988316664e+02	8.1796806736e-01	8.0760437250e-01
4.0030287609e+02	8.1522370535e-01	8.0544571082e-01
4.0072258553e+02	8.1350366269e-01	8.0330272516e-01
4.0114229497e+02	8.1136236953e-01	8.0117797852e-01
4.0156200441e+02	8.0924031854e-01	7.9907383521e-01
4.0198171385e+02	8.0690452882e-01	7.9699246089e-01
4.0240142329e+02	8.0469694345e-01	7.9493580262e-01
4.0282113273e+02	8.0262740309e-01	7.9290564855e-01
4.0324084217e+02	8.0052639334e-01	7.9090366761e-01
4.0366055162e+02	7.9880214298e-01	7.8893236319e-01
4.0408026106e+02	7.9657220932e-01	7.8699239095e-01
4.0449997050e+02	7.9503607343e-01	7.8508472443e-01
4.0491967994e+02	7.9335515314e-01	7.8321047624e-01
4.0533938938e+02	7.9073850853e-01	7.8137054046e-01
4.0575909882e+02	7.8894559360e-01	7.7956577142e-01
4.0617880826e+02	7.8695796595e-01	7.7779694398e-01
4.0659851770e+02	7.8599426469e-01	7.7606644233e-01
4.0701822714e+02	7.8438986318e-01	7.7437311411e-01
4.0743793659e+02	7.8182151333e-01	7.7271753550e-01
4.0785764603e+02	7.8022045773e-01	7.7109998465e-01
4.0827735547e+02	7.7819324913e-01	7.6952091853e-01
4.0869706491e+02	7.7655020341e-01	7.6798091332e-01
4.0911677435e+02	7.7557635023e-01	7.6648171743e-01
4.0953648379e+02	7.7371764967e-01	7.6502174139e-01
4.0995619323e+02	7.7210801266e-01	7.6360116402e-01
4.1037590267e+02	7.7029561587e-01	7.6222004493e-01
4.1079561212e+02	7.6887182378e-01	7.6087844372e-01
4.1121532156e+02	7.6853270185e-01	7.5957886378e-01
4.1163503100e+02	7.6731458020e-01	7.5831911961e-01
4.1205474044e+02	7.6582363146e-01	7.5709901253e-01
4.1247444988e+02	7.6358673679e-01	7.5591858228e-01
4.1289415932e+02	7.6307672957e-01	7.5477830569e-01
4.1331386876e+02	7.6114376484e-01	7.5367983182e-01
4.1373357820e+02	7.6055109972e-01	7.5262095531e-01
4.1415328765e+02	7.6002264293e-01	7.5160151720e-01
4.1457299709e+02	7.5825840640e-01	7.5062145789e-01
4.1499270653e+02	7.5694960314e-01	7.4968294303e-01
4.1541241597e+02	7.5617622917e-01	7.4878434340e-01
4.1583212541e+02	7.5495665849e-01	7.4792480469e-01
4.1625183485e+02	7.5428699987e-01	7.4710422754e-01
4.1667154429e+02	7.5377855587e-01	7.4632445971e-01
4.1709125373e+02	7.5201129527e-01	7.4558452765e-01
4.1751096317e+02	7.5174878935e-01	7.4488313993e-01
4.1793067262e+02	7.5112586306e-01	7.4422007799e-01
4.1835038206e+02	7.5068064767e-01	7.4359768629e-01
4.1877009150e+02	7.4907142601e-01	7.4301423629e-01
4.1918980094e+02	7.4933133443e-01	7.4246863524e-01
4.1960951038e+02	7.4861603152e-01	7.4196068446e-01
4.2002921982e+02	7.4835638372e-01	7.4149364233e-01
4.2044892926e+02	7.4782963468e-01	7.4106385310e-01
4.2086863870e+02	7.4724080091e-01	7.4067099889e-01
4.2128834815e+02	7.4710107265e-01	7.4031664928e-01
4.2170805759e+02	7.4740641490e-01	7.4000070492e-01
4.2212776703e+02	7.4666513791e-01	7.3972103993e-01
4.2254747647e+02	7.4570002214e-01	7.3947755496e-01
4.2296718591e+02	7.4528903522e-01	7.3927328984e-01
4.2338689535e+02	7.4576341370e-01	7.3910439014e-01
4.2380660479e+02	7.4456281991e-01	7.3897051811e-01
4.2422631423e+02	7.4511527472e-01	7.3887447516e-01
4.2464602368e+02	7.4428219186e-01	7.3881363869e-01
4.2506573312e+02	7.4395644800e-01	7.3878681660e-01
4.2548544256e+02	7.4227231967e-01	7.3879609505e-01
4.2590515200e+02	7.4292772872e-01	7.3884014289e-01
4.2632486144e+02	7.4201691281e-01	7.3891707261e-01
4.2674457088e+02	7.4231696099e-01	7.3902867238e-01
4.2716428032e+02	7.4227547331e-01	7.3917408784e-01
4.2758398976e+02	7.4196087740e-01	7.3935105403e-01
4.2800369920e+02	7.4151326542e-01	7.3956147830e-01
4.2842340865e+02	7.4235313779e-01	7.3980418841e-01
4.2884311809e+02	7.4216281262e-01	7.4007707834e-01
4.2926282753e+02	7.4164481509e-01	7.4038229386e-01
4.2968253697e+02	7.4228089991e-01	7.4071786801e-01
4.3010224641e+02	7.4225979923e-01	7.4108201265e-01
4.3052195585e+02	7.4221945827e-01	7.4147758881e-01
4.3094166529e+02	7.4253095597e-01	7.4190109968e-01
4.3136137473e+02	7.4292545155e-01	7.4235190948e-01
4.3178108418e+02	7.4252094114e-01	7.4283238252e-01
4.3220079362e+02	7.4360969519e-01	7.4333840609e-01
4.3262050306e+02	7.4355399753e-01	7.4387107293e-01
4.3304021250e+02	7.4352234675e-01	7.4443014463e-01
4.3345992194e+02	7.4436186048e-01	7.4501291911e-01
4.3387963138e+02	7.4507777640e-01	7.4562152227e-01
4.3429934082e+02	7.4593024208e-01	7.4625309308e-01
