wavelength_nm	current_final_result_transmittance	nearest_dataset_average_transmittance	nearest_neighbor_tandem_result_transmittance
4.8676302097e+02	9.4330936311e-01	9.5647168159e-01	9.5766019821e-01
4.8718273041e+02	9.4398872612e-01	9.5668870211e-01	9.5812273026e-01
4.8760243986e+02	9.4454436481e-01	9.5690107346e-01	9.5816522837e-01
4.8802214930e+02	9.4472241128e-01	9.5710927248e-01	9.5828038454e-01
4.8844185874e+02	9.4550209259e-01	9.5731335878e-01	9.5866608620e-01
4.8886156818e+02	9.4572233939e-01	9.5751303434e-01	9.5878201723e-01
4.8928127762e+02	9.4618177097e-01	9.5770835876e-01	9.5885401964e-01
4.8970098706e+02	9.4640815166e-01	9.5789974928e-01	9.5896911621e-01
4.9012069650e+02	9.4701099322e-01	9.5808720589e-01	9.5916032791e-01
4.9054040594e+02	9.4736689356e-01	9.5827025175e-01	9.5946472883e-01
4.9096011538e+02	9.4753509861e-01	9.5844930410e-01	9.5957386494e-01
4.9137982483e+02	9.4776290972e-01	9.5862466097e-01	9.5969349146e-01
4.9179953427e+02	9.4819957163e-01	9.5879632235e-01	9.5990806818e-01
4.9221924371e+02	9.4834309975e-01	9.5896369219e-01	9.5999652147e-01
4.9263895315e+02	9.4846589191e-01	9.5912748575e-01	9.5997512341e-01
4.9305866259e+02	9.4898480635e-01	9.5928770304e-01	9.6021497250e-01
4.9347837203e+02	9.4923115668e-01	9.5944446325e-01	9.6018058062e-01
4.9389808147e+02	9.4964718932e-01	9.5959711075e-01	9.6025413275e-01
4.9431779091e+02	9.4969386569e-01	9.5974653959e-01	9.6022826433e-01
4.9473750036e+02	9.4995481546e-01	9.5989257097e-01	9.6037667990e-01
4.9515720980e+02	9.5021195651e-01	9.6003532410e-01	9.6050930023e-01
4.9557691924e+02	9.5064861694e-01	9.6017438173e-01	9.6057021618e-01
4.9599662868e+02	9.5096104266e-01	9.6031039953e-01	9.6054458618e-01
4.9641633812e+02	9.5126610035e-01	9.6044319868e-01	9.6053832769e-01
4.9683604756e+02	9.5157342270e-01	9.6057313681e-01	9.6059620380e-01
4.9725575700e+02	9.5198475255e-01	9.6069973707e-01	9.6066373587e-01
4.9767546644e+02	9.5244037060e-01	9.6082323790e-01	9.6082055569e-01
4.9809517589e+02	9.5281260457e-01	9.6094393730e-01	9.6077555418e-01
4.9851488533e+02	9.5324724162e-01	9.6106195450e-01	9.6082967520e-01
4.9893459477e+02	9.5363562738e-01	9.6117711067e-01	9.6093237400e-01
4.9935430421e+02	9.5382946505e-01	9.6128934622e-01	9.6091598272e-01
4.9977401365e+02	9.5404046589e-01	9.6139901876e-01	9.6100437641e-01
5.0019372309e+02	9.5433211153e-01	9.6150612831e-01	9.6079796553e-01
5.0061343253e+02	9.5507097014e-01	9.6161079407e-01	9.6127825975e-01
5.0103314197e+02	9.5532125228e-01	9.6171283722e-01	9.6133440733e-01
5.0145285141e+02	9.5549553740e-01	9.6181249619e-01	9.6143114567e-01
5.0187256086e+02	9.5591485695e-01	9.6190977097e-01	9.6150445938e-01
5.0229227030e+02	9.5627522540e-01	9.6200489998e-01	9.6161496639e-01
5.0271197974e+02	9.5636171720e-01	9.6209788322e-01	9.6156924963e-01
5.0313168918e+02	9.5691960891e-01	9.6218848228e-01	9.6191424131e-01
5.0355139862e+02	9.5680481852e-01	9.6227693558e-01	9.6165060997e-01
5.0397110806e+02	9.5719773369e-01	9.6236342192e-01	9.6185612679e-01
5.0439081750e+02	9.5760244327e-01	9.6244788170e-01	9.6196180582e-01
5.0481052694e+02	9.5769000465e-01	9.6253043413e-01	9.6197557449e-01
5.0523023639e+02	9.5785350672e-01	9.6261101961e-01	9.6210026741e-01
5.0564994583e+02	9.5823306305e-01	9.6268957853e-01	9.6215122938e-01
5.0606965527e+02	9.5838208016e-01	9.6276634932e-01	9.6219176054e-01
