wavelength_nm	final_network_transmittance	nearest_simulation_transmittance
5.3335076895e+02	8.4393900633e-01	8.1065190782e-01
5.3377047839e+02	8.4709054232e-01	8.1473952920e-01
5.3419018783e+02	8.5010761023e-01	8.1857255338e-01
5.3460989727e+02	8.5283875465e-01	8.2216965273e-01
5.3502960671e+02	8.5582005978e-01	8.2554949009e-01
5.3544931615e+02	8.5854274035e-01	8.2873047544e-01
5.3586902559e+02	8.6131608486e-01	8.3173055249e-01
5.3628873503e+02	8.6393672228e-01	8.3456282697e-01
5.3670844448e+02	8.6648935080e-01	8.3724608638e-01
5.3712815392e+02	8.6890286207e-01	8.3979932906e-01
5.3754786336e+02	8.7126380205e-01	8.4223697409e-01
5.3796757280e+02	8.7353980541e-01	8.4457239873e-01
5.3838728224e+02	8.7576174736e-01	8.4681791533e-01
5.3880699168e+02	8.7792569399e-01	8.4898476933e-01
5.3922670112e+02	8.7991470098e-01	8.5108315485e-01
5.3964641056e+02	8.8179409504e-01	8.5312224482e-01
5.4006612001e+02	8.8358718157e-01	8.5511023216e-01
5.4048582945e+02	8.8541519642e-01	8.5705437926e-01
5.4090553889e+02	8.8725572824e-01	8.5896107368e-01
5.4132524833e+02	8.8875055313e-01	8.6083588720e-01
5.4174495777e+02	8.9025795460e-01	8.6268363687e-01
5.4216466721e+02	8.9184200764e-01	8.6450844656e-01
5.4258437665e+02	8.9339518547e-01	8.6631380758e-01
5.4300408609e+02	8.9490205050e-01	8.6810263773e-01
5.4342379553e+02	8.9638525248e-01	8.6987733781e-01
5.4384350498e+02	8.9780110121e-01	8.7163984539e-01
5.4426321442e+02	8.9914792776e-01	8.7339168508e-01
5.4468292386e+02	9.0047353506e-01	8.7513401588e-01
5.4510263330e+02	9.0180295706e-01	8.7686767453e-01
5.4552234274e+02	9.0312939882e-01	8.7859321572e-01
5.4594205218e+02	9.0449297428e-01	8.8031094872e-01
5.4636176162e+02	9.0589022636e-01	8.8202097086e-01
5.4678147106e+02	9.0732055902e-01	8.8372319777e-01
5.4720118051e+02	9.0869569778e-01	8.8541739077e-01
5.4762088995e+02	9.1008710861e-01	8.8710318132e-01
5.4804059939e+02	9.1148906946e-01	8.8878009326e-01
5.4846030883e+02	9.1286551952e-01	8.9044756235e-01
5.4888001827e+02	9.1426199675e-01	8.9210495375e-01
5.4929972771e+02	9.1544461250e-01	8.9375157761e-01
5.4971943715e+02	9.1695553064e-01	8.9538670276e-01
5.5013914659e+02	9.1826522350e-01	8.9700956881e-01
5.5055885604e+02	9.1938221455e-01	8.9861939677e-01
5.5097856548e+02	9.2100650072e-01	9.0021539824e-01
5.5139827492e+02	9.2185831070e-01	9.0179678366e-01
5.5181798436e+02	9.2320346832e-01	9.0336276922e-01
5.5223769380e+02	9.2428749800e-01	9.0491258294e-01
5.5265740324e+02	9.2559784651e-01	9.0644546984e-01
5.5307711268e+02	9.2682790756e-01	9.0796069638e-01
5.5349682212e+02	9.2791122198e-01	9.0945755420e-01
5.5391653156e+02	9.2894524336e-01	9.1093536326e-01
5.5433624101e+02	9.2997419834e-01	9.1239347443e-01
5.5475595045e+02	9.3096745014e-01	9.1383127148e-01
5.5517565989e+02	9.3192476034e-01	9.1524817298e-01
5.5559536933e+02	9.3286567926e-01	9.1664363341e-01
5.5601507877e+02	9.3381428719e-01	9.1801714421e-01
5.5643478821e+02	9.3470132351e-01	9.1936823443e-01
5.5685449765e+02	9.3560588360e-01	9.2069647112e-01
5.5727420709e+02	9.3648320436e-01	9.2200145955e-01
5.5769391654e+02	9.3734365702e-01	9.2328284314e-01
5.5811362598e+02	9.3817526102e-01	9.2454030320e-01
5.5853333542e+02	9.3897539377e-01	9.2577355871e-01
5.5895304486e+02	9.3975979090e-01	9.2698236574e-01
